countries,HIV prevalence,Knowledge on HIV,,laws and policies,Curriculum,Curriculum use,Coverage of primary schools8,Coverage of secondary schools8,Teacher Training Policy/ Programme/ Curriculum,Monitoring and Evaluation,Resistence in society/CSE opposition1
Rwanda,0.9 [0.6 - 1.2],"64,5",,PB,CB,…,76-100%,76-100%,Yes,...,...
Saint Lucia,... [. ],…,,PS,…,…,...,76-100%,Yes,...,...
Saint Vincent and the Grenadines,... [. ],…,,PB,…,…,76-100%,76-100%,...,...,...
Samoa,... [. ],…,,SL,CU,MB,76-100%,51-75%,Yes,EMIS tracks,Yes
Sao Tome and Principe,... [. ],"42,65",,PB,…,…,26-50%,51-75%,No,...,...
Saudi Arabia,... [. ],…,,No,…,…,...,...,No,...,...
Senegal,<0.1 [<0.1 - 0.1],"27,5",,PB,CS,…,76-100%,76-100%,Yes,No,Yes
Serbia,<0.1 [<0.1 - <0.1],"51,39",,PP,…,…,76-100%,...,Yes,...,Yes
Seychelles,... [. ],…,,PB,…,…,26-50%,51-75%,Yes,...,...
Sierra Leone,0.9 [0.5 - 1.3],"29,13",,PB,CB,…,0-25%,0-25%,Yes,...,...
Singapore,<0.1 [<0.1 - <0.1],…,,PS,…,…,...,76-100%,Yes,...,...
Solomon Islands,... [. ],…,,SL,CU,MB,51-75%,51-75%,Yes,EMIS tracks,...
Somalia,<0.1 [<0.1 - <0.1],…,,…,No,…,...,...,...,...,...
South Africa,6.8 [3.4 - 10.2],"45,8",,PB,CB,MB,76-100%,76-100%,Yes,EMIS tracks,Yes
South Sudan,1.0 [0.5 - 1.6],…,,PB,CB,MB,0-25%,0-25%,Yes,EMIS tracks,No
Spain,<0.1 [<0.1 - 0.1],…,,PB,CU,MU,...,...,Yes,No,Yes
Sri Lanka,<0.1 [<0.1 - <0.1],…,,SL,CU,OS,...,76-100%,Yes,EMIS tracks,No
Sudan,<0.1 [<0.1 - <0.1],…,,PB,No,…,...,...,Yes,...,...
Suriname,... [. ],…,,No,CB,…,...,...,No,...,...
Sweden,... [. ],…,,SL,CU,MU,...,...,...,No,No
Switzerland,... [. ],…,,SL,CU,MU,...,...,...,No,Yes
Syrian Arab Republic,<0.1 [<0.1 - <0.1],…,,PB,…,…,...,...,Yes,...,...
Tajikistan,<0.1 [<0.1 - <0.1],"2,67",,PS,CS,MU,...,26-50%,Yes,No,Yes
Thailand,0.2 [0.2 - 0.3],"45,55",,SL,CB,MB,76-100%,76-100%,Yes,No,No
Timor-Leste,<0.1 [<0.1 - <0.1],"11,08",,No,CU,MP,76-100%,...,Yes,No,No
Togo,0.8 [0.5 - 1.1],"25,96",,PB,CS,…,76-100%,26-50%,Yes,...,...
Tonga,... [. ],"12,7",,PB,CU,MS,...,76-100%,Yes,EMIS tracks,Yes
Tunisia,<0.1 [<0.1 - <0.1],…,,PS,No,…,...,76-100%,Yes,...,...
Tuvalu,... [. ],…,,No,CU,OB,76-100%,76-100%,No,...,Yes
Uganda,2.0 [1.3 - 2.8],"45,5",,PB,CB,MS,26-50%,51-75%,Yes,EMIS tracks,...
Ukraine,0.1 [0.1 - 0.2],23,,PS,CS,MU,...,76-100%,Yes,M&E in place,Yes
United Arab Emirates,... [. ],…,,PS,…,…,...,...,...,...,...
United Kingdom,... [. ],…,,SL,CU,MU,...,...,...,M&E in place,Yes
United Republic of Tanzania,1.7 [1.0 - 2.4],"43,08",,PB,CB,MB,51-75%,51-75%,Yes,EMIS tracks,...
Uruguay,... [. ],…,,PS,CB,MB,76-100%,76-100%,Yes,...,Yes
Uzbekistan,<0.1 [<0.1 - <0.1],…,,PS,CS,…,...,76-100%,Yes,...,...
Vanuatu,... [. ],…,,PB,CU,OB,26-50%,26-50%,Yes,...,No
Venezuela,0.2 [0.2 - 0.3],…,,PB,CB,…,76-100%,76-100%,Yes,...,...
Viet Nam,<0.1 [<0.1 - <0.1],"46,21",,PB,CU,OB,76-100%,76-100%,Yes,Included in EMIS,...
Zambia,4.1 [2.4 - 5.5],"41,7",,PB,CB,MB,76-100%,76-100%,Yes,Included in EMIS,No
Zimbabwe,4.6 [2.9 - 6.4],"46,44",,PB,CB,MB,76-100%,76-100%,Yes,EMIS tracks,...
